gene,degree,importance_sum,importance_mean,n_nodes
MAP3K7,3680,0.07799273,0.00048745456,23
CXCL8,184,0.07798561,0.00084766967,2
CDKN2A,81,0.077928685,0.00096208253,1
ADCY2,119,0.0776255,0.0006523151,1
COPA,33,0.077320166,0.0023430353,1
PC,50,0.07697134,0.0015394267,1
GNG4,90,0.07689587,0.00085439853,1
SLC22A2,250,0.07676704,0.0015353408,5
E2F3,583,0.076606005,0.0014453962,11
IL2,1368,0.07634272,0.0010045094,18
IFNA5,51,0.07631783,0.001496428,1
SHC2,54,0.076156616,0.0014103077,1
PLG,55,0.07588119,0.001379658,1
ACADM,57,0.07511006,0.0013177204,1
RRM2,57,0.074825026,0.0013127198,1
RXRA,88,0.07454581,0.00084711146,1
GNAO1,46,0.074196085,0.0016129584,1
NTRK1,92,0.07375198,0.001603304,2
IFNAR1,147,0.073521174,0.0015004323,3
RYR2,154,0.07309576,0.0009492956,2
TCF7L2,330,0.07308421,0.001328804,6
SSTR1,13,0.073037624,0.005618279,1
TYK2,320,0.07223304,0.00090291305,4
TNNT1,156,0.071969636,0.0013840314,3
CDK9,46,0.07188388,0.001562693,1
SERPINE1,42,0.07101146,0.0016907491,1
LEF1,69,0.07082455,0.0010264427,1
H3C11,71,0.070379145,0.0009912556,1
KITLG,172,0.07003878,0.0016288089,4
ACADSB,120,0.07002271,0.0017505678,3
DYNC1H1,58,0.06942462,0.0011969763,1
CYP4F2,64,0.06927012,0.0010823456,1
PSMD7,39,0.06919579,0.0017742511,1
HMOX1,43,0.06907708,0.0016064438,1
DUSP6,230,0.06897808,0.0014995235,5
TSC1,53,0.06865109,0.0012953036,1
IL12B,464,0.06861136,0.0011829545,8
STAT5A,264,0.06839509,0.00051814463,2
GRM1,39,0.06762553,0.0017339879,1
KCNH2,171,0.06762007,0.001186317,3
BTRC,96,0.06750265,0.00070315256,1
GRIN2B,378,0.06748637,0.0010712122,6
ACE,47,0.067296535,0.0014318412,1
MRE11,51,0.06723827,0.0013183975,1
RPS6KA2,148,0.066882454,0.0009038169,2
HSD3B1,37,0.06603529,0.0017847377,1
FGF6,316,0.06584209,0.0008334441,4
GNAI3,84,0.065677874,0.00078187947,1
STAT5B,378,0.06536111,0.000518739,3
NR3C2,220,0.065224685,0.0014823792,5
AKT3,424,0.0647117,0.00030524386,2
CDC16,88,0.06465975,0.0014695398,2
DYNC1I2,216,0.064441085,0.0011933533,4
GAD1,41,0.0643614,0.0015697903,1
GOT2,240,0.06427355,0.0013390322,5
PRKCQ,1275,0.06425046,0.00075588777,15
UBE2S,84,0.06413999,0.0015271427,2
SEH1L,1400,0.064138986,0.0009162712,20
WNT11,176,0.06411137,0.0014570765,4
PARP1,52,0.06403453,0.0012314332,1
LMNA,38,0.06390976,0.0016818359,1
CACNA1A,86,0.06382365,0.00074213545,1
CYP1A1,45,0.06321295,0.0014047323,1
BDNF,102,0.063199796,0.0012392118,2
SCN5A,122,0.06297352,0.0010323528,2
ACTB,174,0.062909886,0.00072310213,2
PPP2R1A,292,0.062766254,0.00042990583,2
