gene,importance_sum,degree,importance_mean
ITGB1,0.050153222,125,0.0004012257754802704
WNT9A,0.050130982,33,0.0015191206652106662
HSD3B1,0.049908284,37,0.0013488725431867548
TUBB1,0.04978982,35,0.001422566281897681
PLD1,0.04970857,56,0.0008876530586608819
ADCY3,0.04953873,108,0.0004586919590278908
TXNRD1,0.049390092,26,0.0018996189420039838
MMP2,0.049350005,47,0.0010500000987915283
CYP2C9,0.049240693,61,0.00080722448278646
NFATC1,0.04913358,67,0.0007333370175824236
YES1,0.04905196,64,0.0007664368604309857
GNG4,0.04894732,90,0.0005438591043154399
DCTN2,0.048894893,33,0.0014816634356975555
SDHB,0.048774682,42,0.0011613019520328159
KAT2A,0.04836004,45,0.0010746675233046213
PRKCB,0.048286036,209,0.00023103366343028237
GAD1,0.0482605,41,0.0011770853363886112
EIF2S2,0.047875084,28,0.0017098244279623032
VEGFA,0.047849394,100,0.00047849394381046297
TP73,0.04742408,32,0.0014820025535300374
ST3GAL3,0.047340233,34,0.001392359790556571
AKT3,0.047153797,212,0.00022242357075776694
PPP1R12A,0.046740156,27,0.0017311168765580213
CDC16,0.046389684,44,0.0010543110018426721
CASP10,0.046346117,35,0.0013241747660296304
IL1B,0.046236023,118,0.00039183070599022556
PTGIR,0.046117447,28,0.0016470516898802348
LBP,0.046086017,21,0.002194572240114212
F2,0.046078257,89,0.0005177332276708625
FOXO3,0.045944054,96,0.0004785838924969236
PDK1,0.04585822,27,0.0016984525654051038
HTR7,0.045743242,26,0.0017593554579294645
CSNK2A2,0.045562066,55,0.0008284012025052851
FOSL1,0.045557573,27,0.0016873175347292865
PRKAR1A,0.04553724,131,0.0003476125252155857
MAPRE1,0.04547595,33,0.001378059048544277
RBL1,0.04543247,35,0.0012980705925396512
UBE2S,0.045028456,42,0.0010721060846533095
MCEE,0.04490418,35,0.0012829765677452088
SLC2A1,0.044804696,50,0.0008960939198732376
FGF2,0.044591825,125,0.00035673460364341736
JUN,0.04438678,285,0.00015574309386705098
LAMTOR2,0.044108424,27,0.001633645345767339
POLR2D,0.044014804,60,0.0007335800677537918
ATF6B,0.04388205,30,0.001462734987338384
UGT1A1,0.043824274,44,0.000996006229384379
SMAD2,0.04379236,80,0.0005474044941365719
CAMK2A,0.043738488,120,0.00036448740089933075
CYP4F8,0.043398786,61,0.000711455513707927
HSPA1B,0.043388966,34,0.0012761460726752
IGF1R,0.043291543,74,0.0005850208470144787
KCNH2,0.043210894,57,0.0007580858573578952
CDC42,0.04315072,161,0.00026801688978390665
TAT,0.043125324,29,0.0014870801362498053
TSHB,0.042978942,31,0.0013864174965889224
WNT9B,0.04286911,34,0.0012608561664819717
ADCY10,0.042627104,37,0.0011520838818034611
MSMO1,0.042335715,36,0.0011759920873575741
BRK1,0.04225998,29,0.0014572406894174115
STEAP3,0.042253874,24,0.0017605780934294064
DDB2,0.04192406,51,0.0008220403802161123
BDNF,0.04185289,51,0.0008206449302972532
CLASP1,0.041730948,37,0.0011278634538521637
APC,0.041475616,64,0.0006480565061792731
AREG,0.041375395,54,0.0007662110168624807
GRIN2A,0.041259326,103,0.00040057598097810465
NCOA1,0.04122006,56,0.0007360725264464106
CXCR2,0.041126046,33,0.0012462438281738396
MAPKAPK3,0.040839102,48,0.0008508146274834871
DYNC1I2,0.040757887,54,0.0007547756863964929
HMGB1,0.04074392,30,0.0013581306984027227
IDI1,0.040610667,41,0.0009905040809294072
CSF1R,0.04052921,57,0.0007110387740427988
LTA4H,0.04025499,62,0.0006492740564769315
FURIN,0.0401841,55,0.0007306199859489094
CLCNKA,0.04016148,31,0.001295531589177347
GLUD1,0.040088,53,0.0007563773894085074
KCNJ5,0.040059384,71,0.0005642166754729311
RPL23,0.03994276,27,0.0014793614822405357
TNNT1,0.039880835,52,0.0007669391253819832
SCN5A,0.039860655,61,0.0006534533544642026
VKORC1,0.039816268,30,0.0013272089262803396
F13B,0.039780285,32,0.001243133912794292
JAK2,0.03976836,178,0.0002234177559279324
PSMD1,0.03947602,38,0.0010388425894473727
TCF7L1,0.039240863,56,0.0007007296995392867
EDNRA,0.039149404,30,0.0013049801190694174
HRH2,0.03906211,36,0.0010850585790144072
PLA2G4A,0.039029807,79,0.0004940481880043126
SULT1A1,0.03885721,25,0.0015542884171009064
KLB,0.03844058,34,0.0011306053356212728
KIF18A,0.03838609,26,0.0014763881380741412
DUSP6,0.038372874,46,0.0008341929186945376
ABCC8,0.038365602,69,0.0005560232245403787
CKB,0.0383471,24,0.0015977957906822364
MCM6,0.038289923,24,0.00159541346753637
EHMT2,0.038218606,24,0.0015924419276416302
RPL31,0.038166046,26,0.0014679248516376202
DRD1,0.038076345,90,0.0004230704986386829
RIPK1,0.038051292,93,0.0004091536806475732
GUCY1B1,0.038050584,38,0.0010013311709228315
C3AR1,0.03794251,26,0.0014593273114699584
CACNA2D2,0.037874874,129,0.000293603672306667
INSR,0.03787478,70,0.0005410682942186083
FGF6,0.037729077,79,0.00047758325368543216
RPLP2,0.037710495,27,0.0013966850108570522
GNG7,0.037482128,91,0.0004118915115083967
TUBB2B,0.037373245,28,0.0013347587415150233
ARF6,0.03734041,27,0.0013829781501381486
MEN1,0.037321784,21,0.0017772277905827476
PTEN,0.03728088,116,0.0003213868958169016
ACLY,0.037260573,21,0.0017743130170163653
KLC1,0.03725723,22,0.0016935105350884523
BCR,0.037193805,26,0.0014305309607432438
RRAS2,0.037164494,21,0.0017697378283455258
CYP2B6,0.037126746,92,0.00040355158726806224
KIAA1549,0.037103187,37,0.0010027888457517366
CEP290,0.03704952,23,0.001610848728729331
