gene_i,gene_j,pair_importance,n_shared_pathways
CDK5RAP2,DCTN2,4.4558618412793294e-05,11
LTA4H,PTGS2,4.45575959592626e-05,196
ATP1B1,SCN5A,4.449635939185459e-05,98
DCTN2,DYNC1H1,4.4473749014173336e-05,17
AQP3,SLC38A4,4.4399814976394834e-05,56
CACNA2D2,GRIN2A,4.412263048143351e-05,3640
KCNA5,RYR2,4.410316519690109e-05,1078
F13B,FGA,4.3936833750590765e-05,56
GNAS,GNB1,4.3820990540451715e-05,96
ABCC8,KCNE2,4.377564333003637e-05,441
KCNH2,KCNJ4,4.374902295617043e-05,294
ATP1B1,HTR1A,4.361480711081554e-05,728
CYP2C18,CYP2C8,4.359880328053123e-05,16
CACNA2D2,CALM1,4.356840794251549e-05,490
SLC22A2,SLC38A4,4.3525821018806076e-05,150
FGF20,FRS2,4.344835490373933e-05,952
SLC14A2,SLC7A6,4.344133080210132e-05,280
NR3C2,SLC3A1,4.341635774925412e-05,280
PLCG1,SRC,4.3348871658239856e-05,86
MCCC2,MCEE,4.3254985573781823e-05,18
MAPK14,RAC1,4.3229260453109264e-05,140
HCN4,RYR2,4.3129013785891956e-05,98
CD36,CYP26B1,4.304028289503492e-05,5
NR3C2,SLC38A4,4.3017046001890636e-05,140
MYLK,PTGIR,4.299155943954247e-05,2
GGT1,PTGIS,4.288152221021413e-05,92
EGFR,SRC,4.277584290594825e-05,228
F13A1,PLG,4.268827218216753e-05,130
ACADSB,IVD,4.265795317207055e-05,66
ITPR1,KCNE1,4.2548283825703574e-05,147
ACADS,ACADSB,4.242911450166062e-05,186
AQP3,SLC3A1,4.232270027343388e-05,112
AQP3,ATP1B1,4.228269410805341e-05,56
KCNA5,SCN5A,4.211033468390337e-05,1078
SLC1A1,SLC7A6,4.200927684038359e-05,728
GMPR,RRM2,4.197246625459172e-05,20
CDK5RAP2,CEP152,4.1951897955527784e-05,11
MNAT1,NELFE,4.18513605922044e-05,26
CEP152,MAPRE1,4.181249374823892e-05,11
PSMD12,PSMD7,4.171574617828355e-05,12
POLR2D,POLR2H,4.1662927206705114e-05,44
BEGAIN,SYT7,4.164016963317807e-05,2
MAPK14,SRC,4.156050924974952e-05,120
ADCY1,PRKACG,4.1470912113761305e-05,110
SCN5A,SLC8A1,4.144573201889667e-05,1764
AOX1,MCCC2,4.138020719324231e-05,38
FRS2,SRC,4.136441788726852e-05,68
PIK3R1,RAC1,4.135755723564305e-05,220
CACNA2D2,KCNJ4,4.130767450493302e-05,980
MYLK,RIIAD1,4.122202881262638e-05,1
CYP2C8,PTGIS,4.121943536250505e-05,92
F5,FGG,4.117657786473217e-05,64
ITPR1,KCND3,4.109461585279807e-05,147
ADCY5,GNAS,4.106259453162675e-05,70
ATP1B2,KCND3,4.100051314015474e-05,49
AICDA,RAG2,4.096386825835907e-05,2
MAPK3,PIK3CD,4.088981541698969e-05,78
CLCNKA,SLC38A4,4.087779852704888e-05,28
CACNA1A,DRD1,4.087206033213743e-05,378
KCNJ3,TNNT1,4.0658169138812185e-05,882
SRC,UBC,4.064392449856791e-05,52
AGTR1,TNNT1,4.0526592972068275e-05,294
CYP4F3,PTGIS,4.051931514527374e-05,192
CACNA1H,TNNT1,4.0509276729315306e-05,294
IGF2,PIK3CB,4.0334661088543754e-05,24
RPA3,UBC,4.028415268564345e-05,29
CDK5RAP2,MAPRE1,4.021244455998385e-05,11
ATP1B2,PLCB1,4.018598191102285e-05,56
ALDH4A1,GLUD1,4.0165292869431823e-05,23
PIK3CB,PIK3CD,4.01494863766767e-05,126
CYP2B6,CYP2C8,4.0111357054506414e-05,65
ADCY2,ADCY5,4.01064617932545e-05,54
MNAT1,POLR2D,4.0068245253266355e-05,27
ADCY7,PRKACG,4.004648698595348e-05,126
CSK,SRC,4.004079201536115e-05,38
CYP4F8,PTGS1,4.000599947870365e-05,46
CYP4A11,PTGIS,3.996427115402282e-05,94
CCNH,POLR2E,3.986274322716395e-05,891
CACNA1A,CACNA2D2,3.9851899049757894e-05,600
ACADS,MCEE,3.981748066733638e-05,42
ARC,SGK1,3.972058493120422e-05,18
MAP2K1,SRC,3.9686396631655185e-05,108
KCNA5,KCNJ3,3.967095737837493e-05,3234
GNAI1,PLCB2,3.965825967244155e-05,114
FYN,SRC,3.963433337732218e-05,2268
ABCC8,PLCB1,3.960726377331506e-05,156
ATP1B2,SLC12A3,3.953270443535217e-05,28
GTF2H4,MNAT1,3.9531178703811065e-05,38
ATP1B2,SLC22A2,3.9435690148259536e-05,140
PTPN11,SRC,3.9410631258123516e-05,546
CALM1,SLC8A1,3.940191433907731e-05,882
CLASP1,MAPRE1,3.933413453438561e-05,20
GRB2,PIK3R1,3.9299359872223293e-05,306
HCN4,KCNJ4,3.9280430117618215e-05,98
RYR2,SCN5A,3.919273663274825e-05,196
KCNJ4,RYR2,3.9145789504441836e-05,196
ADCY10,GUCY1B1,3.909511527844245e-05,42
RPL10L,RPLP2,3.908852259115747e-05,34
BEGAIN,HOMER2,3.906744881503055e-05,4
BCAR1,SRC,3.901104746142567e-05,448
PC,PDHB,3.896951608413862e-05,264
KCNJ11,KCNQ1,3.896683976511994e-05,49
CALM1,KCNH2,3.895937855670958e-05,147
SLC12A3,SLC3A1,3.890771134629212e-05,56
ATP2A2,ITPR1,3.886368874244371e-05,156
ABAT,MCCC2,3.8809638596145474e-05,19
CLCNKA,SLC3A1,3.8770337740245964e-05,56
KCNJ3,KCNK1,3.875941336830744e-05,1176
GNAI1,GNAS,3.8754721456954076e-05,150
MTTP,PCSK5,3.873089435237696e-05,11
ALDH3A2,DPYS,3.8702175595506393e-05,2
CDK5RAP2,NEDD1,3.867581231314128e-05,154
GNB4,GNG12,3.859047894315404e-05,88
CYP1A2,CYP2S1,3.858288327451831e-05,64
CTDP1,MNAT1,3.8569584659124225e-05,39
ABAT,SNAP25,3.854863560626143e-05,2
AMPD1,PDE10A,3.853206957546429e-05,76
GRIN2A,HTR1A,3.843112278543304e-05,5096
CACNA1A,PCSK2,3.841044515713113e-05,260
FST,RUNX3,3.839737837012184e-05,44
ATP1B1,GRIN2A,3.837287557889392e-05,364
MAP2K3,MAPK14,3.834156645764891e-05,82
ITPR1,KCNQ1,3.826896277299321e-05,150
F13B,VKORC1,3.823125929258708e-05,24
KCND3,TNNT1,3.8209454408429565e-05,147
HCN4,SCN5A,3.819206355903937e-05,98
BLM,RPA3,3.80936781807506e-05,36
ATP1B2,CLCNKA,3.807896906593555e-05,28
PLG,VKORC1,3.80336385532587e-05,24
ATP1B1,CLCNKA,3.8004040902039904e-05,28
AGTR1,ITPR1,3.796128320381561e-05,312
CYP1A1,CYP2C18,3.794673042989416e-05,15
CYP11A1,HSD3B1,3.787311155534212e-05,22
MAPK3,PIK3R2,3.782058149425074e-05,408
KCNJ5,TNNT1,3.779949564300389e-05,147
GMPR,PDE10A,3.774485791496751e-05,76
RPL17,RPL31,3.7739737423591116e-05,18
KCNE1,TNNT1,3.7640299851075344e-05,147
BLM,RMI2,3.763305085328456e-05,510
F5,FGB,3.755918958652458e-05,124
ACADM,IVD,3.755031266194919e-05,20
MAPK14,MAPK8,3.753555477334835e-05,256
SLC1A1,SLC22A2,3.7504981326894045e-05,4030
ATP1B2,KCNJ3,3.737374797345381e-05,294
KCND3,KCNK1,3.726110307364361e-05,196
FGA,PLG,3.7240453204467894e-05,64
KAT5,RMI2,3.723312879336739e-05,238
LTA4H,PTGS1,3.7204860543316176e-05,92
FGG,VKORC1,3.7192031973276585e-05,24
ATP1B1,KCND3,3.715450354179611e-05,49
ALDH4A1,CPS1,3.7136329581898155e-05,189
GRB2,HRAS,3.708851164007088e-05,1368
DPYS,PANK3,3.707225232574274e-05,2
IFT22,KIF3B,3.6955795840398764e-05,2
RHEB,TSC1,3.690639334053003e-05,19
CYP3A4,UGT1A1,3.6890983432513735e-05,27
MAPK3,MAPK8,3.682819529792088e-05,284
GNAS,GNB4,3.681412439737741e-05,28
GNAI1,PLD1,3.679831398722966e-05,6
ABAT,ACADM,3.679393849882837e-05,23
CACNA1H,KCNK1,3.678259336347637e-05,392
BCHE,CACNA1A,3.675420841481777e-05,3
