gene,GenNet_experiment_105,GenNet_experiment_143,GenNet_experiment_144,GenNet_experiment_145,GenNet_experiment_146,mean,std,cv,n_seeds,mean_rank
NR3C2,0.068075836,0.06466682,0.06204865,0.065224685,0.06822547,0.0656482922,0.0025804538855120434,0.03930725079108826,5,177.6
SERPINE1,0.064719036,0.06794173,0.059912547,0.07101146,0.06347037,0.06541102859999999,0.004249929143756849,0.06497266951336168,5,181.4
PSMD7,0.06830758,0.06002463,0.059440482,0.06919579,0.06994149,0.0653819944,0.005193650234220319,0.07943548192253246,5,181.6
TSC1,0.055406127,0.06471972,0.07300274,0.06865109,0.064152054,0.0651863462,0.006519981779151548,0.10002066627798735,5,186.4
HMOX1,0.05950299,0.057497047,0.060661074,0.06907708,0.07814881,0.06497740020000001,0.00858558287889478,0.13213183125930572,5,188.6
GOT2,0.06501666,0.06496839,0.06406724,0.06427355,0.064092375,0.064483643,0.00047162165747026847,0.007313818443388326,5,184.4
CAMK2D,0.083005555,0.06061504,0.045405395,0.054960586,0.07822416,0.0644421472,0.01582315291433969,0.24554043590806504,5,200.4
DYNC1I2,0.059762113,0.06575875,0.07159291,0.064441085,0.058854386,0.0640818488,0.005131850868334025,0.08008275298595981,5,188.8
GNG12,0.06597597,0.062013563,0.0649025,0.060975213,0.065833196,0.0639400884,0.002299831114265848,0.035968531977598084,5,187.0
PTGS1,0.074804276,0.056834836,0.06895471,0.053856585,0.06515505,0.06392109139999999,0.008614130567621543,0.13476194443734957,5,192.0
FBXW11,0.05955781,0.06207029,0.056621045,0.09138721,0.049966633,0.06392059759999999,0.016006787207364453,0.25041673276478343,5,204.0
SEH1L,0.063911095,0.065689325,0.060381003,0.064138986,0.06348595,0.0635212718,0.001942712240913384,0.030583648372628836,5,189.4
KCNK1,0.07647943,0.060034703,0.05328019,0.061649077,0.066102125,0.063509105,0.008589455146015347,0.13524761758200415,5,194.2
LMNA,0.06864813,0.05844637,0.062047917,0.06390976,0.06335425,0.0632812854,0.0036776667076939976,0.05811618212947991,5,191.4
PRKCQ,0.060878936,0.06365326,0.06479103,0.06425046,0.06278887,0.0632725112,0.001530552506324823,0.024189849229894683,5,191.4
GRM1,0.054144517,0.05761723,0.06880291,0.06762553,0.06727634,0.0630933054,0.006721358467461082,0.10653045398158967,5,195.4
TLR2,0.060319193,0.066673845,0.064962484,0.06272906,0.059597343,0.06285638499999999,0.003003479794657107,0.047783209210283215,5,194.6
PCSK2,0.068100266,0.06518225,0.06021119,0.0600184,0.060447402,0.0627919016,0.00366543175964808,0.058374275443954377,5,194.4
ACTB,0.06707406,0.059621748,0.061621856,0.062909886,0.06250596,0.06274670200000002,0.002731356302938891,0.043529878318367875,5,193.8
CYP1A1,0.06572179,0.056528017,0.061258167,0.06321295,0.06626487,0.06259715880000001,0.003944046323688112,0.06300679454621047,5,195.4
CDC16,0.05906586,0.067060366,0.05870522,0.06465975,0.06190715,0.06227966920000001,0.003597355755267081,0.057761317641473284,5,196.6
RAB7A,0.076314196,0.037548084,0.1029311,0.03987901,0.05394468,0.06212341400000001,0.027533150810491125,0.44320086482193527,5,262.4
SLC7A6,0.055490203,0.05743201,0.07181324,0.05907754,0.066751376,0.06211287379999999,0.006902831172610497,0.11113366280293568,5,202.2
CHEK2,0.063530445,0.057744455,0.061390508,0.061463375,0.0653001,0.06188577660000001,0.002825632545033112,0.04565883633159597,5,198.2
UBE2I,0.07061296,0.0654305,0.04699427,0.057529587,0.0676263,0.061638723400000005,0.009514601715475685,0.15436078475751955,5,204.0
TRAF3,0.07792164,0.06038596,0.061256934,0.053318672,0.054266475,0.0614299362,0.009876789629991277,0.16078137535150616,5,207.0
WNT11,0.057997167,0.059318442,0.06276241,0.06411137,0.061636474,0.061165172600000005,0.002494997236069371,0.04079114191969714,5,203.6
CACNA1A,0.06326004,0.05885504,0.0599774,0.06382365,0.058449052,0.060873036400000004,0.0025076922262201153,0.041195451623965894,5,206.6
RFC5,0.061646998,0.06066145,0.063371435,0.05845087,0.058643155,0.060554781599999996,0.002074765737749759,0.03426262440272362,5,205.0
BAK1,0.06390469,0.058504503,0.061650418,0.060840413,0.056984857,0.0603769762,0.002706188319944623,0.044821527844990404,5,208.4
MSMO1,0.05847843,0.061712656,0.061192904,0.060361817,0.05993165,0.060335491399999996,0.001249419531129476,0.020707870312124052,5,207.6
